City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Ushuaia,AR,2022-09-06 01:31:48,-54.8,-68.3,33.46,86,75,9.22
59,Hilo,US,2022-09-06 01:31:48,19.7297,-155.09,86.29,75,75,10.36
60,Lebu,CL,2022-09-06 01:31:48,-37.6167,-73.65,48.97,74,70,3.04
61,Keti Bandar,PK,2022-09-06 01:31:49,24.1447,67.4497,79.57,81,100,11.56
62,Vaini,TO,2022-09-06 01:31:49,-21.2,-175.2,82.56,74,75,11.5
63,Qaanaaq,GL,2022-09-06 01:31:49,77.484,-69.3632,39.56,92,100,7.23
64,Nanortalik,GL,2022-09-06 01:31:50,60.1432,-45.2371,44.46,93,100,4.56
65,Sorland,NO,2022-09-06 01:31:50,67.667,12.6934,49.86,75,100,12.26
66,Sume,BR,2022-09-06 01:31:50,-7.6717,-36.88,67.64,82,38,10.13
67,Slave Lake,CA,2022-09-06 01:31:50,55.2834,-114.769,64.38,34,0,16.11
68,Itupiranga,BR,2022-09-06 01:31:51,-5.1347,-49.3267,82.72,54,37,3.69
69,Mahajanga,MG,2022-09-06 01:31:51,-15.7167,46.3167,73.42,64,40,2.3
70,Vodnyy,RU,2022-09-06 01:31:51,63.5046,53.4095,41.99,97,100,4.99
71,Cape Town,ZA,2022-09-06 01:31:51,-33.9258,18.4232,53.11,77,75,5.75
72,Paamiut,GL,2022-09-06 01:31:52,61.994,-49.6678,39.58,97,100,7.74
73,Nikolskoye,RU,2022-09-06 01:31:52,59.7035,30.7861,47.88,77,96,4.07
74,Vila Velha,BR,2022-09-06 01:31:52,-20.3297,-40.2925,69.75,85,75,11.5
75,Roebourne,AU,2022-09-06 01:31:52,-20.7833,117.1333,74.64,30,0,8.7
76,Saldanha,ZA,2022-09-06 01:31:53,-33.0117,17.9442,50.05,77,12,2.77
77,Saint-Philippe,RE,2022-09-06 01:31:53,-21.3585,55.7679,67.59,74,42,12.84
78,Xiongzhou,CN,2022-09-06 01:31:53,25.1167,114.3,86.34,38,100,6.38
79,Nikolayevka,RU,2022-09-06 01:31:53,53.1257,47.2041,43.84,61,98,4.05
80,Berlevag,NO,2022-09-06 01:31:54,70.8578,29.0864,44.6,81,75,19.57
81,Mar Del Plata,AR,2022-09-06 01:31:54,-38.0023,-57.5575,60.82,44,0,11.5
82,Saint George,US,2022-09-06 01:27:15,37.1041,-113.5841,105.64,14,0,13.8
83,Bairiki,KI,2022-09-06 01:31:54,1.3292,172.9752,86.0,66,20,12.66
84,Changji,CN,2022-09-06 01:31:54,44.0167,87.3167,77.79,22,0,2.24
85,Mahebourg,MU,2022-09-06 01:31:55,-20.4081,57.7,70.09,73,40,11.5
86,Yellowknife,CA,2022-09-06 01:31:55,62.456,-114.3525,59.52,63,75,12.66
87,Rundu,NA,2022-09-06 01:31:55,-17.9333,19.7667,62.91,23,0,7.27
88,Codrington,AU,2022-09-06 01:31:55,-38.2667,141.9667,56.23,68,100,9.66
89,Mocuba,MZ,2022-09-06 01:31:56,-16.8392,36.9856,66.25,65,0,3.51
90,Amaigbo,NG,2022-09-06 01:31:56,5.7892,7.8383,72.93,97,97,3.24
91,Acapulco,MX,2022-09-06 01:31:56,16.8634,-99.8901,75.02,94,100,8.05
92,Iqaluit,CA,2022-09-06 01:32:57,63.7506,-68.5145,40.73,80,75,3.44
93,Camocim,BR,2022-09-06 01:29:53,-2.9022,-40.8411,78.39,81,10,16.44
94,Qostanay,KZ,2022-09-06 01:32:57,53.1667,63.5833,48.49,87,100,11.18
95,Arkhangelsk,RU,2022-09-06 01:32:57,64.5401,40.5433,46.51,100,40,4.47
96,East London,ZA,2022-09-06 01:32:57,-33.0153,27.9116,58.69,53,0,17.34
97,Mataura,NZ,2022-09-06 01:32:58,-46.1927,168.8643,41.49,88,99,6.02
98,College,US,2022-09-06 01:31:51,64.8569,-147.8028,62.2,58,75,5.75
99,Port Victoria,KE,2022-09-06 01:32:58,0.0939,33.9756,66.51,88,87,12.12
100,Kahului,US,2022-09-06 01:32:58,20.8947,-156.47,83.3,84,40,19.57
101,Karratha,AU,2022-09-06 01:32:58,-20.7377,116.8463,74.1,32,0,9.6
102,Elizabeth City,US,2022-09-06 01:32:59,36.2946,-76.2511,78.82,82,100,3.44
103,Macherla,IN,2022-09-06 01:32:59,16.4833,79.4333,82.29,76,27,1.5
104,Avarua,CK,2022-09-06 01:32:59,-21.2078,-159.775,73.45,94,75,12.66
105,Vila Franca Do Campo,PT,2022-09-06 01:32:59,37.7167,-25.4333,73.2,83,55,2.84
106,Georgetown,MY,2022-09-06 01:28:38,5.4112,100.3354,84.13,84,20,6.91
107,Sur,OM,2022-09-06 01:33:00,22.5667,59.5289,82.94,65,4,8.72
